,open,close,low,high,volume,money,factor,pre_close
2012-11-27,1559.46,1552.92,1551.56,1563.84,1161965600.0,9726978178.0,1.0,1563.2
2012-11-28,1547.25,1542.07,1538.77,1549.35,1160897700.0,9306419731.0,1.0,1552.92
2012-11-29,1541.84,1532.92,1530.57,1549.16,1142642300.0,8977813544.0,1.0,1542.07
2012-11-30,1531.6,1547.76,1529.03,1550.11,1276458600.0,10702616931.0,1.0,1532.92
2012-12-03,1544.59,1532.18,1531.58,1557.65,1594270900.0,14109293764.0,1.0,1547.76
2012-12-04,1529.33,1545.95,1528.28,1550.27,1342275800.0,12369660298.0,1.0,1532.18
2012-12-05,1544.57,1601.74,1543.26,1608.11,3508355500.0,30830009577.0,1.0,1545.95
2012-12-06,1599.53,1600.41,1590.04,1608.44,1939737300.0,18291814574.0,1.0,1601.74
2012-12-07,1602.3,1634.92,1599.67,1637.54,3180962600.0,27337261090.0,1.0,1600.41
2012-12-10,1642.08,1653.28,1640.56,1659.27,3040222900.0,24752551604.0,1.0,1634.92
2012-12-11,1648.06,1645.01,1642.94,1657.65,2003930200.0,17861853544.0,1.0,1653.28
2012-12-12,1645.63,1657.13,1642.79,1659.66,2013134400.0,17513566757.0,1.0,1645.01
2012-12-13,1651.67,1635.63,1634.63,1654.79,1646102900.0,15292968444.0,1.0,1657.13
2012-12-14,1637.61,1728.06,1637.61,1728.82,4774830300.0,41210669862.0,1.0,1635.63
2012-12-17,1732.9,1738.85,1732.64,1750.1,3822778000.0,34321087379.0,1.0,1728.06
2012-12-18,1734.95,1744.85,1725.56,1768.37,3470347400.0,31797100681.0,1.0,1738.85
2012-12-19,1740.28,1744.02,1736.47,1759.72,2501654900.0,24909314737.0,1.0,1744.85
2012-12-20,1735.8,1751.94,1725.85,1757.8,2579883400.0,25567567546.0,1.0,1744.02
2012-12-21,1753.25,1737.99,1732.99,1769.77,2533704900.0,24740344490.0,1.0,1751.94
2012-12-24,1733.41,1746.44,1731.84,1759.67,1910901900.0,21386826292.0,1.0,1737.99
2012-12-25,1739.74,1798.88,1734.6,1808.34,3639907200.0,35603057269.0,1.0,1746.44
2012-12-26,1796.61,1800.56,1792.86,1806.09,2551238600.0,25859593149.0,1.0,1798.88
2012-12-27,1805.83,1786.78,1785.86,1816.9,2496554700.0,25316964681.0,1.0,1800.56
2012-12-28,1789.69,1817.85,1789.42,1819.65,2628555200.0,26005738026.0,1.0,1786.78
2012-12-31,1821.98,1857.68,1821.98,1858.32,3288098800.0,31838655845.0,1.0,1817.85
2013-01-04,1885.96,1870.5,1849.78,1899.88,3920564900.0,39918820869.0,1.0,1857.68
2013-01-07,1865.06,1880.26,1857.28,1892.13,2852949900.0,29047314861.0,1.0,1870.5
2013-01-08,1879.85,1857.69,1846.29,1883.14,2534855200.0,28592800185.0,1.0,1880.26
2013-01-09,1851.61,1855.34,1839.01,1861.37,2510211300.0,27479952838.0,1.0,1857.69
2013-01-10,1854.99,1855.49,1843.35,1875.58,2512934500.0,26215851793.0,1.0,1855.34
2013-01-11,1857.77,1818.98,1810.84,1863.27,2643782300.0,26793508679.0,1.0,1855.49
2013-01-14,1811.32,1893.1,1811.07,1900.41,3586175400.0,37504710761.0,1.0,1818.98
2013-01-15,1892.51,1900.05,1889.69,1907.65,3265932800.0,34532269093.0,1.0,1893.1
2013-01-16,1895.23,1877.0,1851.33,1898.23,3164398900.0,34462185706.0,1.0,1900.05
2013-01-17,1871.64,1854.94,1844.45,1872.15,2330184500.0,24757645778.0,1.0,1877.0
2013-01-18,1867.76,1886.79,1854.66,1897.61,2562917000.0,27241991921.0,1.0,1854.94
2013-01-21,1890.85,1898.44,1871.67,1899.0,3142856200.0,33266653904.0,1.0,1886.79
2013-01-22,1895.0,1898.5,1878.45,1917.46,4129089000.0,38699040854.0,1.0,1898.44
2013-01-23,1890.69,1910.13,1885.27,1911.2,2870868000.0,26471549110.0,1.0,1898.5
2013-01-24,1909.92,1900.18,1885.46,1961.98,4636251700.0,45027602055.0,1.0,1910.13
2013-01-25,1898.28,1886.45,1881.13,1905.38,2180922400.0,23121684514.0,1.0,1900.18
