date,etf1_position,etf2_position,total_position,cash,calculate_returns_etf1,calculate_returns_etf2
2021-01-19,566718,0,566718,1.3260000002403114,0.12684589170768648,-0.002949852507374634
2021-01-20,566718,0,566718,1.3260000002403114,0.16085489313835782,-0.010355029585798824
2021-01-21,566718,0,566718,1.3260000002403114,0.19085114360704927,-0.007418397626112766
2021-01-22,566718,0,566718,1.3260000002403114,0.20304380103934674,-0.026627218934911264
2021-01-25,566718,0,566718,1.3260000002403114,0.2061011904761904,-0.043988269794721445
2021-01-26,566718,0,566718,1.3260000002403114,0.1346292296616271,-0.04411764705882357
2021-01-27,566718,0,566718,1.3260000002403114,0.16482707873436347,-0.022522522522522542
2021-01-28,566718,0,566718,1.3260000002403114,0.11366120218579229,-0.03308270676691732
2021-01-29,566718,0,566718,1.3260000002403114,0.11115187087307409,-0.027272727272727296
2021-02-01,566718,0,566718,1.3260000002403114,0.11167697344488903,-0.025525525525525547
2021-02-02,566718,0,566718,1.3260000002403114,0.13588342440801449,-0.022658610271903343
2021-02-03,566718,0,566718,1.3260000002403114,0.1431726168568273,-0.02121212121212123
2021-02-04,566718,0,566718,1.3260000002403114,0.10682386566630937,-0.03021148036253779
2021-02-05,566718,0,566718,1.3260000002403114,0.07606420097697138,-0.018072289156626523
2021-02-05,566718,0,566718,1.3260000002403114,0.07606420097697138,-0.012121212121212132
2021-02-09,566718,0,566718,1.3260000002403114,0.08266129032258064,-0.0090909090909091
2021-02-10,566718,0,566718,1.3260000002403114,0.1020749665327979,-0.012012012012012022
2021-02-18,566718,0,566718,1.3260000002403114,0.06626706626706622,0.0074962518740629746
2021-02-19,566718,0,566718,1.3260000002403114,0.03730366492146593,0.0224550898203593
2021-02-22,566718,0,566718,1.3260000002403114,-0.0013175230566534926,0.04380664652567963
2021-02-23,0,0,0,1700155.3260000004,0.006691201070592178,0.03016591251885372
2021-02-24,0,2489246,2489246,0.3080000001937151,-0.0559167750325098,0.03021148036253779
2021-02-25,0,2489246,2489246,0.3080000001937151,-0.04859504132231399,0.055975794251134525
2021-02-26,0,0,0,1739983.262,-0.05791764312018749,0.02852852852852855
2021-03-01,0,0,0,1739983.262,-0.03210702341137126,0.03587443946188327
2021-03-02,0,0,0,1739983.262,-0.06139198949441886,0.020710059171597486
2021-03-03,0,0,0,1739983.262,-0.025537634408602173,0.05381165919282499
2021-03-04,0,0,0,1739983.262,-0.11143410852713184,0.0553064275037368
2021-03-05,0,0,0,1739983.262,-0.12720403022670035,0.056231003039513554
