,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
510,sz399691,创业专利,2812.866,30.582,1.099,2782.284,2800.487,2819.987,2790.875,639295187,24019544435
511,sz399692,创业低波,3355.068,34.872,1.05,3320.196,3313.234,3355.068,3310.08,1323175669,22287592228
512,sz399693,安防产业,3844.224,17.801,0.465,3826.423,3819.233,3844.224,3807.45,614415580,10910431743
513,sz399694,创业高贝,3425.594,22.58,0.664,3403.014,3404.176,3431.946,3402.925,1310706938,71387041155
514,sz399695,深证节能,3189.537,12.054,0.379,3177.483,3179.687,3205.474,3172.925,2943790115,62773854570
515,sz399696,深证创投,3435.736,20.833,0.61,3414.903,3422.798,3446.256,3417.205,2000931176,38628849945
516,sz399697,中关村60,4440.269,42.855,0.975,4397.414,4395.503,4448.557,4387.368,1363276644,20263459558
517,sz399698,优势成长,26426.701,338.152,1.296,26088.549,26102.094,26436.506,26090.699,429296824,5079470735
518,sz399699,金融科技,3723.542,32.388,0.877,3691.154,3687.134,3739.293,3685.01,1293169880,26411101813
519,sz399701,深证F60,9694.883,114.959,1.2,9579.924,9562.34,9720.722,9554.347,3842909258,76144086735
520,sz399702,深证F120,8615.572,89.561,1.05,8526.011,8510.982,8634.216,8501.215,5816113113,104554830036
521,sz399703,深证F200,8295.381,89.829,1.095,8205.552,8193.119,8308.872,8183.275,8156725267,147858685503
522,sz399704,深证上游,6377.366,22.597,0.356,6354.769,6316.03,6396.057,6279.41,2392908754,32595836613
523,sz399705,深证中游,4083.286,24.995,0.616,4058.291,4073.526,4092.088,4053.21,3974711767,103679741496
524,sz399706,深证下游,7883.713,128.477,1.657,7755.236,7738.64,7894.84,7738.64,2389402268,77203651878
525,sz399707,CSSW证券,6440.668,33.871,0.529,6406.797,6393.077,6498.813,6391.028,1731179277,22718028771
526,sz399802,500深市,6336.433,57.367,0.914,6279.066,6278.82,6341.278,6274.56,7452227758,89708318608
527,sz399803,工业4.0,4988.524,28.192,0.568,4960.332,4956.659,4998.598,4950.102,1093552862,45186186465
528,sz399804,中证体育,1696.042,26.737,1.602,1669.305,1667.63,1698.705,1663.435,501255927,6045019308
529,sz399805,互联金融,2814.196,24.246,0.869,2789.95,2787.911,2819.226,2786.201,1841669419,31080458617
530,sz399806,环境治理,1491.798,2.054,0.138,1489.744,1490.433,1495.886,1481.995,865255637,7532250135
531,sz399807,高铁产业,1218.553,4.07,0.335,1214.483,1211.999,1221.452,1211.999,502202689,3523157529
532,sz399808,中证新能,4790.512,5.008,0.105,4785.504,4812.936,4837.9,4756.521,4568992289,106749988522
533,sz399809,保险主题,1944.335,39.424,2.07,1904.911,1899.624,1957.587,1898.084,914329516,11653223379
534,sz399810,CSSW传媒,2559.272,17.749,0.698,2541.523,2539.472,2568.809,2535.351,1197391893,12662483484
535,sz399811,CSSW电子,4218.813,46.742,1.12,4172.071,4171.193,4228.258,4169.977,2149305829,60877870811
536,sz399812,养老产业,7867.276,87.053,1.119,7780.223,7773.596,7876.064,7766.761,1326183834,46816703708
537,sz399813,中证国安,6187.267,23.608,0.383,6163.659,6153.971,6192.744,6130.312,1389652186,34337899250
538,sz399814,大农业,1575.755,42.165,2.749,1533.59,1525.229,1580.098,1525.027,2247729313,38039756763
539,sz399817,生态100,1224.217,5.136,0.421,1219.081,1217.374,1225.653,1212.802,1308881493,11401583477
540,sz399901,小康指数,5762.97,13.331,0.232,5749.639,5732.625,5776.239,5722.033,6606438000,94258145215
541,sz399903,中证100,4807.55,49.605,1.043,4757.945,4750.058,4818.119,4750.053,5838852900,140148045804
542,sz399904,中证 200,5603.228,-36.841,-0.653,5640.069,5683.982,5698.875,5520.506,9827388200,184602927888
543,sz399905,中证 500,7120.379,52.274,0.74,7068.105,7060.775,7127.236,7051.779,16813576400,182701165155
544,sz399913,300 医药,14859.645,225.729,1.543,14633.916,14619.73,14944.455,14619.73,478810400,29434745194
545,sz399914,300 金融,6211.754,56.101,0.911,6155.653,6152.633,6244.467,6150.844,3311425900,44326853556
546,sz399918,300 成长,7607.066,-30.736,-0.402,7637.802,7690.03,7740.043,7510.399,4004240800,170896066280
547,sz399928,中证能源,2410.074,0.709,0.029,2409.365,2402.187,2457.628,2378.005,2058178700,18608453492
548,sz399932,中证消费,24079.395,644.749,2.751,23434.646,23318.213,24110.311,23318.213,2027994000,58346102402
549,sz399933,中证医药,13607.424,193.504,1.443,13413.92,13403.031,13657.263,13403.031,862884400,36181540637
550,sz399934,中证金融,5863.895,49.523,0.852,5814.372,5811.065,5892.525,5809.265,4269306800,50042678183
551,sz399935,中证信息,5370.996,57.349,1.079,5313.647,5310.613,5381.724,5309.071,2548212400,55374435219
552,sz399944,内地资源,2761.497,-44.676,-1.592,2806.173,2843.209,2848.804,2708.386,3488369000,42261756487
553,sz399958,创业成长,1834.089,-22.742,-1.225,1856.831,1877.196,1888.809,1808.365,1012250000,45866176376
554,sz399959,军工指数,1797.15,4.822,0.269,1792.328,1787.949,1798.002,1774.524,502436583,14090636621
555,sz399965,800地产,4767.62,-37.241,-0.775,4804.861,4801.09,4811.753,4727.74,812957280,7141861533
556,sz399966,800非银,6012.513,59.433,0.998,5953.08,5940.937,6041.738,5937.96,1971179032,30433140001
557,sz399967,中证军工,12747.599,15.636,0.123,12731.963,12702.743,12752.706,12597.549,628134825,16354061447
558,sz399970,移动互联,3626.74,29.362,0.816,3597.378,3599.64,3635.138,3598.322,2341606715,71363376927
559,sz399971,中证传媒,1080.794,7.685,0.716,1073.109,1071.948,1083.81,1069.572,914170032,8944371444
560,sz399972,300深市,6634.951,80.287,1.225,6554.664,6547.058,6640.713,6547.058,4150041679,119482383534
561,sz399973,中证国防,2141.75,-1.745,-0.081,2143.495,2137.654,2143.672,2119.745,319468966,11836881487
562,sz399974,国企改革,2009.46,15.595,0.782,1993.865,1989.099,2011.727,1987.906,3966613519,91102028793
563,sz399975,证券公司,843.421,4.649,0.554,838.772,836.953,850.925,836.706,1740385588,22955383467
564,sz399976,CS新能车,6212.584,14.347,0.231,6198.237,6226.752,6298.958,6181.906,799794082,55072646114
565,sz399982,500等权,8207.599,66.521,0.817,8141.078,8131.627,8215.65,8115.668,16813576400,182701165155
566,sz399983,地产等权,5099.223,-47.89,-0.93,5147.113,5144.869,5149.8,5058.022,384245361,4614495225
567,sz399986,中证银行,6497.183,43.825,0.679,6453.358,6450.118,6532.496,6449.146,1517838886,12630805357
568,sz399987,中证酒,9193.332,199.449,2.218,8993.883,8931.832,9242.806,8931.832,358855030,32067571904
569,sz399989,中证医疗,15141.399,235.86,1.582,14905.539,14886.828,15193.351,14886.156,362878183,19605192676
570,sz399990,煤炭等权,3242.934,45.717,1.43,3197.217,3221.049,3333.492,3184.806,2513272897,25966274184
571,sz399991,一带一路,2170.014,20.539,0.956,2149.475,2144.729,2173.167,2138.831,7225456238,64812646679
572,sz399992,CSWD并购,1960.841,6.539,0.335,1954.302,1953.222,1966.086,1946.459,1098668164,17501313540
573,sz399993,CSWD生科,5260.455,123.654,2.407,5136.801,5149.664,5273.361,5149.077,312004101,18450251129
