,open,close,high,low,volume,money
2006-12-28 13:30:00,1761.64,1726.07,1761.83,1726.07,433510000.0,2869720000.0
2006-12-28 14:00:00,1726.3,1733.44,1739.54,1726.3,298016000.0,2120610000.0
2006-12-28 14:30:00,1733.1,1741.85,1748.57,1732.87,259327000.0,1900640000.0
2006-12-28 15:00:00,1741.67,1737.16,1741.84,1723.54,454174800.0,3043520000.0
2006-12-29 10:00:00,1751.41,1776.7,1779.38,1751.41,709218900.0,4829587000.0
2006-12-29 10:30:00,1777.05,1778.56,1785.56,1776.22,525683100.0,3672015000.0
2006-12-29 11:00:00,1778.53,1787.23,1787.25,1776.75,381323000.0,2840468000.0
2006-12-29 11:30:00,1787.18,1791.87,1796.47,1787.18,338913000.0,2559770000.0
2006-12-29 13:30:00,1791.86,1802.83,1802.83,1791.76,391668000.0,2765270000.0
2006-12-29 14:00:00,1802.68,1803.63,1807.01,1801.12,462452000.0,3448310000.0
2006-12-29 14:30:00,1803.8,1803.33,1819.0,1801.33,613838000.0,4465040000.0
2006-12-29 15:00:00,1803.1,1805.31,1805.85,1797.17,545538000.0,4195130000.0
2007-01-04 10:00:00,1842.63,1886.85,1892.15,1842.63,1236168000.0,9094778000.0
2007-01-04 10:30:00,1886.1,1885.72,1886.28,1875.66,580350000.0,4545832000.0
2007-01-04 11:00:00,1885.9,1894.42,1894.42,1885.48,442324000.0,3476800000.0
2007-01-04 11:30:00,1894.24,1915.24,1924.39,1894.24,542659000.0,4496000000.0
2007-01-04 13:30:00,1914.67,1892.83,1914.67,1884.14,619827800.0,5107940000.0
2007-01-04 14:00:00,1892.68,1897.79,1900.68,1880.61,418895200.0,3634580000.0
2007-01-04 14:30:00,1898.09,1900.57,1904.26,1888.77,560560000.0,4190840000.0
2007-01-04 15:00:00,1900.23,1836.14,1900.42,1821.76,1077082000.0,7928660000.0
2007-01-05 10:00:00,1814.7,1836.6,1837.04,1792.49,1043509000.0,7226864000.0
2007-01-05 10:30:00,1836.39,1816.44,1844.23,1805.9,914868000.0,6243916000.0
2007-01-05 11:00:00,1816.53,1825.96,1833.19,1809.08,405539000.0,3076050000.0
2007-01-05 11:30:00,1825.74,1826.38,1830.9,1825.23,282129000.0,2215230000.0
2007-01-05 13:30:00,1826.51,1803.71,1828.17,1803.71,569714000.0,4114840000.0
2007-01-05 14:00:00,1804.09,1823.64,1826.56,1802.88,464348200.0,3352010000.0
2007-01-05 14:30:00,1823.59,1805.62,1824.0,1799.87,444932800.0,3315820000.0
2007-01-05 15:00:00,1805.39,1815.12,1816.31,1799.42,459514000.0,3729380000.0
2007-01-08 10:00:00,1813.62,1861.34,1862.21,1813.62,840889800.0,6245025000.0
2007-01-08 10:30:00,1860.97,1835.76,1861.73,1835.18,468501200.0,3887465000.0
2007-01-08 11:00:00,1835.56,1827.39,1835.76,1815.79,435334000.0,3253440000.0
2007-01-08 11:30:00,1827.06,1819.23,1830.37,1818.87,365116000.0,2797840000.0
2007-01-08 13:30:00,1819.02,1805.75,1821.52,1804.57,440943000.0,3221500000.0
2007-01-08 14:00:00,1805.59,1827.71,1829.54,1805.58,363676000.0,2804190000.0
2007-01-08 14:30:00,1827.48,1839.85,1841.24,1825.33,341509000.0,2641330000.0
2007-01-08 15:00:00,1839.81,1856.62,1857.54,1838.48,449429000.0,3593320000.0
2007-01-09 10:00:00,1858.09,1877.38,1880.83,1852.54,559194700.0,4344253000.0
2007-01-09 10:30:00,1877.22,1878.37,1882.21,1873.26,381657500.0,3142995000.0
2007-01-09 11:00:00,1878.72,1888.81,1890.05,1876.9,387164800.0,3424952000.0
2007-01-09 11:30:00,1888.76,1902.54,1902.54,1888.46,315637000.0,2593810000.0
2007-01-09 13:30:00,1902.41,1903.47,1904.75,1893.5,347871000.0,2807410000.0
2007-01-09 14:00:00,1903.6,1913.68,1915.66,1903.42,459121000.0,3411890000.0
2007-01-09 14:30:00,1913.98,1928.47,1929.48,1913.41,556852000.0,4211880000.0
2007-01-09 15:00:00,1928.51,1932.28,1933.32,1913.35,557348000.0,4427500000.0
2007-01-10 10:00:00,1945.3,1957.93,1960.6,1939.91,768313900.0,5848591000.0
2007-01-10 10:30:00,1958.01,1950.76,1963.65,1950.76,468908100.0,3896088000.0
2007-01-10 11:00:00,1950.51,1940.4,1950.61,1924.69,507328000.0,4022191000.0
2007-01-10 11:30:00,1940.3,1937.29,1949.97,1936.5,334071000.0,2667400000.0
2007-01-10 13:30:00,1935.55,1932.54,1937.01,1915.81,434289000.0,3475940000.0
2007-01-10 14:00:00,1932.23,1947.44,1947.64,1932.06,275550000.0,2561060000.0
2007-01-10 14:30:00,1947.58,1950.46,1955.54,1945.3,302688000.0,2689930000.0
2007-01-10 15:00:00,1949.87,1963.63,1964.35,1949.85,389879200.0,3324430000.0
2007-01-11 10:00:00,1964.65,1933.88,1964.65,1933.1,647980400.0,5295346000.0
2007-01-11 10:30:00,1934.05,1954.23,1954.27,1934.04,414642600.0,3388232000.0
2007-01-11 11:00:00,1954.09,1954.27,1957.97,1951.78,295714000.0,2614322000.0
2007-01-11 11:30:00,1954.31,1951.89,1959.07,1951.24,292083000.0,2572000000.0
2007-01-11 13:30:00,1952.18,1968.71,1969.1,1951.74,347705000.0,2726350000.0
2007-01-11 14:00:00,1968.22,1968.39,1977.76,1966.49,323709000.0,2664420000.0
2007-01-11 14:30:00,1968.56,1949.66,1969.15,1942.27,317276000.0,2854920000.0
2007-01-11 15:00:00,1949.43,1927.22,1949.43,1922.32,486436000.0,4023280000.0
2007-01-12 10:00:00,1911.51,1930.44,1930.45,1897.57,418682200.0,3497549000.0
2007-01-12 10:30:00,1930.44,1935.07,1941.51,1929.25,302172900.0,2718913000.0
2007-01-12 11:00:00,1934.91,1927.8,1940.45,1921.37,298093900.0,2598924000.0
2007-01-12 11:30:00,1927.8,1906.05,1928.03,1898.63,426054000.0,3266224000.0
2007-01-12 13:30:00,1906.09,1909.07,1916.78,1901.48,272335000.0,2282760000.0
2007-01-12 14:00:00,1909.31,1892.3,1910.67,1890.49,330775000.0,2659370000.0
2007-01-12 14:30:00,1892.14,1864.17,1899.48,1863.94,365119000.0,2913400000.0
2007-01-12 15:00:00,1864.18,1876.14,1883.83,1861.68,494083000.0,3894930000.0
2007-01-15 10:00:00,1872.08,1876.77,1907.33,1872.08,484478700.0,4021722000.0
2007-01-15 10:30:00,1875.91,1898.61,1900.76,1875.72,308562300.0,2697490000.0
2007-01-15 11:00:00,1898.0,1907.39,1914.38,1896.55,269385000.0,2313432000.0
2007-01-15 11:30:00,1907.36,1929.06,1929.22,1907.16,262299000.0,2283286000.0
2007-01-15 13:30:00,1929.81,1917.91,1939.7,1917.91,316196000.0,2631360000.0
2007-01-15 14:00:00,1918.15,1928.89,1928.89,1917.6,253777000.0,2189370000.0
2007-01-15 14:30:00,1929.22,1944.09,1952.45,1928.21,363920000.0,2903190000.0
2007-01-15 15:00:00,1944.63,1963.16,1963.53,1943.49,391843000.0,3147140000.0
2007-01-16 10:00:00,1989.22,2005.09,2005.51,1981.55,694257600.0,6086339000.0
2007-01-16 10:30:00,2005.11,1968.57,2005.29,1968.21,517164400.0,4370351000.0
2007-01-16 11:00:00,1968.45,1982.52,1984.73,1967.57,325555000.0,2864430000.0
2007-01-16 11:30:00,1982.69,1972.91,1987.99,1970.08,300341000.0,2543280000.0
2007-01-16 13:30:00,1973.75,1951.34,1980.88,1950.69,322022000.0,2740810000.0
2007-01-16 14:00:00,1951.15,1972.74,1973.76,1950.02,303450000.0,2663270000.0
