,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
151,sh000808,医药生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
152,sh000816,细分地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
153,sh000819,有色金属,7512.926,190.401,2.6,7322.5255,7337.3265,7632.1603,7337.3265,54045214,93991494542
154,sh000821,300红利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
155,sh000823,800有色,7760.3513,250.101,3.33,7510.2499,7546.5421,7878.4163,7546.5421,44612597,72441859667
156,sh000827,中证环保,2729.7613,51.351,1.917,2678.4103,2689.8341,2764.0138,2680.1439,63174340,126039783703
157,sh000828,300高贝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
158,sh000832,中证转债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
159,sh000833,中高企债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
160,sh000841,800医药,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
161,sh000842,800等权,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162,sh000846,ESG 100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
163,sh000847,腾讯济安,2872.8896,14.851,0.52,2858.0381,2861.0083,2878.782,2857.6491,28710051,51895134704
164,sh000849,300非银,9876.1646,132.9,1.364,9743.2648,9726.0207,9962.112,9658.3123,40911675,68409528622
165,sh000851,百发100,21582.7135,295.98,1.39,21286.7332,21348.0172,21681.2786,21211.7283,38056463,208212223956
166,sh000852,中证1000,7715.0732,62.515,0.817,7652.5587,7654.189,7737.5973,7614.942,212658510,322685537102
167,sh000853,CSSW丝路,1929.0788,12.906,0.674,1916.1725,1922.3556,1938.3638,1919.7359,41358966,110288008640
168,sh000854,500原料,6183.717,118.57,1.955,6065.1472,6096.3138,6210.7908,6094.1176,64073955,69179572919
169,sh000855,央视500,1699.0929,17.676,1.051,1681.4166,1684.1066,1704.5418,1683.3194,250135587,543588192514
170,sh000856,500工业,7141.4934,66.046,0.933,7075.4471,7042.1554,7142.5131,7004.5726,51296789,65766388993
171,sh000857,500医药,13919.2492,140.595,1.02,13778.6539,13810.0205,13931.6897,13749.2183,5355212,9436837722
172,sh000858,500信息,8426.1135,19.82,0.236,8406.2937,8415.6895,8456.7129,8280.8703,15107287,29071819858
173,sh000860,结构调整,1198.3143,2.658,0.222,1195.6568,1193.1033,1200.1774,1190.4995,57334337,76305044480
174,sh000865,上海国企,1346.8327,11.458,0.858,1335.3744,1335.2865,1348.8419,1334.7824,17035647,25587852113
175,sh000867,港中小企,3286.6886,60.103,1.863,3226.5853,3251.1424,3287.8354,3251.1424,11209887,9912738400
176,sh000869,HK银行,2806.2771,-15.685,-0.556,2821.962,2832.4203,2834.5624,2796.3093,6492490,4434936890
177,sh000891,新兴综指,1888.9742,16.465,0.879,1872.5097,1873.4236,1896.2848,1862.7367,350824377,688633387097
178,sh000901,小康指数,5513.6353,40.153,0.734,5473.4826,5483.6401,5527.696,5480.7458,112609682,149735529581
179,sh000903,中证100,4649.5106,54.781,1.192,4594.7293,4605.394,4666.94,4603.6592,68673609,181827907960
180,sh000904,中证200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
181,sh000905,中证500,7090.7817,66.217,0.943,7024.5647,7031.6481,7098.0287,7009.6901,202726895,236479323512
182,sh000906,中证800,5251.9221,54.632,1.051,5197.2901,5205.6558,5267.6406,5203.5064,400610058,653960749670
183,sh000908,300能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
184,sh000909,300材料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185,sh000910,300工业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
186,sh000911,300可选,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
187,sh000912,300消费,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
188,sh000913,300医药,15341.4158,289.993,1.927,15051.4231,15122.9304,15407.7617,15063.8121,7218281,47695098796
189,sh000914,300金融,6189.7863,48.849,0.795,6140.9376,6139.1717,6215.3277,6099.6803,58679347,85814334338
190,sh000917,300公用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
191,sh000918,300成长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
192,sh000919,300价值,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
193,sh000922,中证红利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
194,sh000925,基本面50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
195,sh000928,中证能源,1915.2897,25.64,1.357,1889.6499,1924.5104,1928.0608,1904.8703,17676452,15494611197
196,sh000931,中证可选,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
197,sh000932,中证消费,21538.8922,397.011,1.878,21141.8814,21228.5563,21641.0698,21066.2567,7889820,46022550083
198,sh000933,中证医药,13964.4415,238.606,1.738,13725.8356,13784.1937,14013.5297,13729.3364,12573492,57131936530
199,sh000934,中证金融,5843.345,42.613,0.735,5800.7321,5798.5378,5867.1642,5761.5148,75693083,95385092474
200,sh000935,中证信息,5692.9525,-0.799,-0.014,5693.7512,5695.4629,5713.7263,5650.1222,33305134,77377566531
201,sh000939,民企200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
202,sh000940,财富大盘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
203,sh000944,内地资源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
204,sh000950,300基建,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
205,sh000951,300银行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
206,sh000952,300地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
207,sh000957,300运输,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
208,sh000958,创业成长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
209,sh000959,银河99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
210,sh000961,中证上游,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
211,sh000963,中证下游,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
212,sh000964,中证新兴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
213,sh000966,基本400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
214,sh000969,300非周,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
215,sh000971,等权90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
216,sh000974,800金融,6248.9078,50.167,0.809,6198.7408,6196.378,6277.453,6156.6304,67271644,89009161144
217,sh000975,钱江30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
218,sh000977,内地低碳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
219,sh000978,医药100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
220,sh000979,大宗商品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
221,sh000982,500等权,8049.1784,55.985,0.7,7993.1937,7995.3575,8053.1433,7975.0756,202726895,236479323512
222,sh000983,智能资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
223,sh000984,300等权,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
224,sh000986,全指能源,1785.8105,28.064,1.597,1757.7469,1791.6695,1794.9121,1775.9814,32524505,24611694137
225,sh000987,全指材料,4850.2808,83.426,1.75,4766.8549,4776.818,4871.8922,4776.7036,209471159,276081308850
226,sh000989,全指可选,5720.1355,25.236,0.443,5694.8993,5704.0861,5736.6091,5690.8917,60132375,88996234593
227,sh000990,全指消费,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
228,sh000991,全指医药,13871.9001,236.386,1.734,13635.5144,13708.2781,13907.5704,13628.5411,26560567,88375542309
229,sh000992,全指金融,5619.8318,45.083,0.809,5574.7487,5573.0923,5642.4961,5542.2272,82574972,101808103422
230,sh000993,全指信息,7276.4532,14.304,0.197,7262.1488,7258.1925,7299.1785,7193.9025,83264295,174213427544
231,sh000998,中证TMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
232,sz399001,深证成指,14663.549,127.672,0.878,14535.877,14558.96,14710.007,14496.886,50831646992,792221180979
233,sz399002,深成指R,18377.617,160.244,0.88,18217.373,18246.537,18435.842,18168.74,17493418456,368871807828
234,sz399003,成份Ｂ指,8138.305,11.513,0.142,8126.792,8136.329,8174.819,8111.253,16037730,78921398
235,sz399004,深证100R,8951.976,75.991,0.856,8875.985,8888.048,8985.792,8859.985,4755330703,174809050318
236,sz399005,中小100,9677.363,104.114,1.088,9573.249,9592.514,9710.612,9565.854,3461802300,93059769759
237,sz399006,创业板指,3330.58,36.81,1.118,3293.77,3301.865,3351.927,3269.864,16465103156,327186494821
238,sz399007,深证300,6353.218,58.535,0.93,6294.683,6306.832,6373.173,6282.143,12236884646,287743615894
239,sz399008,中小300,1822.268,17.663,0.979,1804.605,1807.277,1826.76,1801.588,9882309622,169923798583
240,sz399009,深证200,5366.552,58.942,1.111,5307.61,5325.271,5375.801,5287.693,7481553943,112934565577
241,sz399010,深证700,8044.762,43.283,0.541,8001.479,7997.025,8070.717,7953.133,17539362447,241452783820
242,sz399011,深证1000,6878.879,55.858,0.819,6823.021,6831.337,6900.64,6802.11,29776247093,529196399714
243,sz399012,创业300,4470.929,37.813,0.853,4433.116,4438.509,4497.957,4394.042,6840533330,180036568416
244,sz399013,深市精选,6121.359,47.649,0.785,6073.71,6079.155,6133.644,6065.789,14574293827,288948696029
245,sz399015,中小创新,2669.215,14.005,0.527,2655.21,2653.661,2677.691,2640.927,12282828637,160324591886
246,sz399016,深证创新,4898.513,2.888,0.059,4895.625,4893.608,4923.389,4849.665,2054281483,96993498113
247,sz399017,SME创新,3932.198,5.753,0.147,3926.445,3925.84,3942.719,3897.956,2131698677,67397970349
248,sz399018,创业创新,5385.827,24.313,0.453,5361.514,5374.475,5415.919,5305.862,1547494659,78527975793
249,sz399050,创新引擎,3400.728,43.048,1.282,3357.68,3375.354,3407.374,3357.218,1869384130,46945007700
250,sz399088,深创100,4927.541,37.026,0.757,4890.515,4897.32,4952.201,4878.229,3473909139,139929295164
251,sz399100,新 指 数,11241.198,81.146,0.727,11160.052,11168.709,11271.415,11128.73,49374837704,777476283031
252,sz399101,中小综指,13735.434,118.131,0.868,13617.303,13631.217,13755.036,13599.717,20884864902,289373874997
253,sz399102,创业板综,3611.596,22.588,0.629,3589.008,3591.42,3631.784,3559.931,16465103156,327186494821
254,sz399103,乐富指数,8848.725,104.422,1.194,8744.303,8760.395,8867.094,8741.175,10267376078,13696923816
255,sz399106,深证综指,2463.846,18.805,0.769,2445.041,2447.907,2470.318,2438.625,50831646992,792221180979
256,sz399107,深证Ａ指,2578.107,19.699,0.77,2558.408,2561.406,2584.897,2551.677,50805425576,792116466990
257,sz399108,深证Ｂ指,1205.705,2.215,0.184,1203.49,1205.277,1209.022,1202.223,26221416,104713989
258,sz399231,农林指数,1322.692,12.427,0.948,1310.265,1309.243,1330.472,1300.854,408068225,6088587575
259,sz399232,采矿指数,2834.484,-3.552,-0.125,2838.036,2841.92,2911.065,2822.441,1170634913,16374208993
260,sz399233,制造指数,3233.927,21.562,0.671,3212.365,3215.004,3247.134,3198.678,35951893121,620261427606
261,sz399234,水电指数,914.872,12.458,1.381,902.414,903.986,920.602,903.986,1706735861,14318751796
